flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 3360 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : Hamming(7,4)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 3669 symbols
  efficiency    : 1.05 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
2.400005;28;1917;-1;50;32;46;24;48;37;35;1;1 
2.300005;49;43;37;-1;-1;40;50;1985;50;1877;1;1 
2.200006;42;25;30;47;39;1577;-1;4020;44;1914;1;1 
2.100006;28;1822;6021;57;55;-1;33;35;19;-1;1;1 
2.000006;52;849;39;1975;56;38;-1;30;-1;929;1;1 
1.900006;75;-1;1791;56;58;51;42;49;-1;45;1;1 
1.800006;-1;874;-1;-1;50;48;-1;66;57;-1;1;1 
1.700006;77;79;1735;54;49;1885;-1;1794;42;68;1;1 
1.600006;1906;-1;63;-1;74;66;-1;70;68;-1;1;1 
1.500006;1994;61;75;109;4028;73;-1;78;-1;-1;1;1 
1.400006;65;66;46;-1;-1;-1;-1;83;6018;79;1;1 
1.300006;-1;99;80;69;69;-1;84;81;-1;81;1;1 
1.200006;-1;96;94;-1;89;-1;111;-1;92;908;1;1 
1.100006;101;88;-1;-1;87;93;101;1861;120;116;1;1 
1.000005;-1;-1;-1;100;113;1906;108;1880;-1;110;1;1 
0.900005;1870;-1;3495;-1;112;-1;-1;103;-1;133;1;1 
0.800005;90;136;-1;-1;-1;-1;-1;1624;121;1880;1;1 
0.700005;1886;1414;1892;1907;1986;115;-1;-1;1892;917;1;1 
0.600005;-1;-1;132;-1;119;-1;168;-1;-1;-1;1;1 
0.500005;-1;-1;1681;1809;-1;-1;140;-1;-1;-1;1;1 
0.400005;-1;-1;152;1798;153;109;-1;178;-1;-1;1;1 
0.300005;-1;165;-1;-1;156;-1;-1;-1;-1;1814;1;1 
0.200005;-1;-1;-1;-1;-1;-1;-1;1157;-1;1943;1;1 
0.100005;-1;1616;201;158;-1;168;174;1916;-1;-1;1;1 
0.000005;-1;183;1980;-1;1899;1930;217;-1;-1;175;1;1 
