flexframegen:
  head          : 7 symbols
  preamble      : 64
  header        : 231 symbols (20 bytes)
  payload       : 5760 symbols (480 bytes)
    payload crc : none
    fec (inner) : none
    fec (outer) : repeat(3)
    mod scheme  : qpsk
  tail          : 7 symbols
  total         : 6069 symbols
  efficiency    : 0.63 bits/second/Hz
SNRdB;bitErrorRate_0;bitErrorRate_1;bitErrorRate_2;bitErrorRate_3;bitErrorRate_4;bitErrorRate_5;bitErrorRate_6;bitErrorRate_7;bitErrorRate_8;bitErrorRate_9;Valid Header,Detected Frame
2.400005;8;-1;-1;14;19;7;10;9;15;10;1;1 
2.300005;20;26;13;-1;11;14;15;966;11;1871;1;1 
2.200006;11;12;16;17;1869;1568;-1;3958;16;1822;1;1 
2.100006;16;1803;-1;17;14;1957;13;17;16;1955;1;1 
2.000006;15;20;19;-1;-1;21;18;22;-1;1999;1;1 
1.900006;21;-1;1915;20;24;23;17;25;-1;16;1;1 
1.800006;-1;14;-1;-1;18;20;21;898;18;31;1;1 
1.700006;20;29;1865;-1;18;1919;-1;15;14;22;1;1 
1.600006;26;10169;35;-1;22;25;1927;18;21;-1;1;1 
1.500006;36;24;28;3687;31;21;-1;24;26;-1;1;1 
1.400006;28;29;29;23;-1;-1;-1;25;5949;27;1;1 
1.300006;-1;-1;16;33;37;-1;36;23;31;25;1;1 
1.200006;-1;37;39;43;-1;-1;41;-1;33;37;1;1 
1.100006;-1;33;-1;-1;-1;32;38;-1;48;41;1;1 
1.000005;-1;-1;-1;41;57;1913;41;1914;60;33;1;1 
0.900005;-1;-1;3986;-1;50;50;-1;50;42;-1;1;1 
0.800005;45;-1;-1;48;-1;-1;44;52;-1;2037;1;1 
0.700005;59;1461;4001;43;-1;54;51;-1;1875;50;1;1 
0.600005;-1;-1;46;-1;41;-1;59;-1;-1;-1;1;1 
0.500005;-1;-1;881;1768;-1;-1;49;63;-1;-1;1;1 
0.400005;-1;-1;63;-1;86;-1;-1;-1;-1;-1;1;1 
0.300005;-1;68;-1;-1;59;-1;-1;-1;-1;1920;1;1 
0.200005;-1;-1;-1;-1;-1;-1;-1;1940;-1;-1;1;1 
0.100005;-1;1652;-1;80;-1;1894;57;1892;-1;-1;1;1 
0.000005;-1;72;1967;-1;89;1969;63;-1;1904;62;1;1 
